AUDJPY, 2017-05-25 18:29:37, , 2017-05-26 03:47:32, 
AUDJPY, 2017-05-26 00:18:26, , 2017-05-26 03:47:17, 
AUDJPY, 2017-05-25 23:05:57, , 2017-05-25 23:40:14, 
AUDJPY, 2017-05-25 19:31:24, , 2017-05-25 22:56:46, 
AUDJPY, 2017-05-25 17:58:43, , 2017-05-25 19:02:41, 
USDJPY, 2017-05-25 18:24:16, , 2017-05-25 19:01:18, 
GBPJPY, 2017-05-25 11:07:37, , 2017-05-25 18:01:46, 
USDJPY, 2017-05-25 12:37:56, , 2017-05-25 17:58:26, 
USDJPY, 2017-05-25 14:27:47, , 2017-05-25 17:58:21, 
GBPJPY, 2017-05-25 12:40:34, , 2017-05-25 16:41:02, 
AUDJPY, 2017-05-25 13:40:57, , 2017-05-25 15:54:52, 
USDJPY, 2017-05-25 10:54:47, , 2017-05-25 14:26:47, 
GBPJPY, 2017-05-25 10:43:46, , 2017-05-25 12:39:22, 
